C,Mn,Si,Cr,Ni,Mo,AustenitizeTemp,AustenitizeTime,QuenchMedium,TemperingTemp,TemperingTime,Hardness
0.376,1.45,0.704,0.898,0.353,0.008,823,30,Water,569,195,86.6
0.431,0.816,0.323,0.568,0.224,0.688,828,44,Oil,499,92,92.3
0.202,1.347,0.572,0.49,0.796,0.687,877,77,Oil,664,63,61.7
0.293,0.727,0.584,1.401,1.016,0.747,927,49,Water,458,99,82.4
0.337,1.416,0.745,1.024,0.461,0.058,781,54,Oil,579,168,76.5
0.54,0.479,0.424,0.717,1.004,0.316,931,111,Water,567,151,114.6
0.263,1.428,0.818,0.29,0.441,0.343,861,113,Oil,389,85,75.2
0.367,1.299,0.665,1.135,1.353,0.689,789,32,Water,608,176,82.4
0.594,1.315,0.134,0.759,1.321,0.209,939,63,Oil,392,96,121.6
0.384,0.449,0.592,0.843,0.107,0.242,855,44,Polymer,673,80,79.4
0.426,1.016,0.876,0.69,0.226,0.586,906,25,Oil,528,170,98.4
0.204,0.32,0.611,0.836,1.047,0.144,845,115,Oil,680,136,63.6
0.522,1.165,0.258,1.156,0.0,0.508,784,93,Water,157,96,112.4
0.421,0.309,0.559,0.127,1.233,0.594,875,118,Polymer,218,130,93.6
0.395,0.402,0.781,1.711,0.534,0.144,870,70,Polymer,436,166,90.6
0.304,0.571,0.199,1.852,1.117,0.178,854,39,Oil,553,88,80.6
0.287,1.35,0.835,1.146,0.066,0.56,871,35,Water,367,71,81.1
0.338,0.736,0.251,0.609,0.314,0.636,875,75,Oil,330,169,85.7
0.457,0.948,0.581,1.981,0.106,0.763,920,90,Water,494,180,109.3
0.544,0.982,0.447,0.828,0.27,0.247,872,86,Polymer,261,65,110.9
0.38,0.571,0.324,1.418,0.577,0.439,838,59,Oil,337,65,89.0
0.451,0.987,0.683,1.411,0.737,0.117,804,73,Water,365,101,105.0
0.414,1.093,0.134,0.925,1.374,0.35,860,111,Water,168,145,98.0
0.431,0.658,0.784,0.478,0.941,0.209,889,51,Oil,491,128,101.2
0.454,0.802,0.574,1.937,1.06,0.279,927,59,Polymer,554,110,99.3
0.529,0.844,0.888,0.221,0.123,0.643,816,23,Water,322,93,110.4
0.187,1.419,0.569,1.022,0.43,0.643,810,34,Water,243,60,69.5
0.494,1.005,0.132,0.519,1.488,0.564,785,64,Oil,208,100,110.1
0.26,1.438,0.229,0.659,0.841,0.099,869,102,Water,534,164,78.2
0.237,0.967,0.816,1.674,1.182,0.227,900,88,Water,553,133,79.5
0.408,0.901,0.543,0.798,0.049,0.751,870,113,Polymer,495,118,93.7
0.193,0.304,0.498,0.258,0.126,0.362,794,23,Polymer,255,44,64.0
0.548,0.877,0.387,0.473,0.164,0.497,869,66,Water,190,193,117.1
0.432,1.413,0.356,1.735,0.023,0.015,850,50,Oil,401,97,98.0
0.476,0.538,0.969,1.956,1.383,0.414,945,111,Polymer,529,170,94.8
0.157,0.363,0.49,0.609,0.38,0.551,870,70,Polymer,456,117,57.4
0.417,0.788,0.896,1.383,1.495,0.047,910,42,Polymer,300,158,91.8
0.401,0.747,0.683,0.254,1.107,0.092,826,48,Polymer,574,179,90.5
0.222,1.329,0.873,1.475,0.376,0.295,907,113,Oil,157,158,81.0
0.219,0.332,0.867,0.891,1.488,0.756,797,82,Water,424,191,73.4
0.463,1.404,0.961,1.845,1.303,0.199,919,62,Oil,563,107,97.7
0.293,1.117,0.728,0.692,0.247,0.017,911,69,Polymer,521,163,75.8
0.461,1.385,0.825,1.889,0.278,0.647,797,43,Water,241,126,101.0
0.399,1.029,0.76,1.056,1.02,0.679,800,29,Polymer,156,123,91.8
0.325,1.274,0.645,0.763,0.117,0.429,866,49,Water,664,51,81.5
0.566,0.703,0.746,1.329,0.877,0.714,866,106,Oil,346,74,114.9
0.529,0.719,0.744,0.575,0.1,0.143,793,58,Water,657,166,106.3
0.311,0.768,0.137,0.537,0.332,0.22,832,79,Water,457,83,81.9
0.17,1.206,0.564,0.473,1.423,0.016,846,104,Water,647,158,62.5
0.287,0.743,0.813,1.924,0.748,0.467,930,76,Oil,488,58,78.6
0.329,0.591,0.319,1.037,0.861,0.71,922,20,Oil,686,92,79.6
0.467,1.425,0.519,1.528,0.405,0.485,816,93,Oil,610,38,99.7
0.598,1.39,0.491,1.001,0.66,0.064,946,48,Oil,356,116,120.2
0.31,0.719,0.463,1.216,0.2,0.555,896,50,Water,660,152,81.0
0.493,1.062,0.21,1.21,0.775,0.541,915,113,Polymer,557,116,98.2
0.417,0.629,0.573,1.962,0.081,0.133,924,94,Oil,271,163,97.4
0.461,0.547,0.502,1.37,0.072,0.663,807,62,Oil,258,109,97.4
0.218,0.704,0.697,0.556,1.019,0.73,842,69,Oil,241,133,70.1
0.329,0.693,0.594,0.129,0.082,0.313,866,41,Oil,597,197,76.8
0.258,1.359,0.125,0.515,0.782,0.247,924,44,Oil,465,44,79.3
0.305,1.287,0.129,0.965,0.399,0.46,925,44,Polymer,385,170,75.9
0.381,1.152,0.731,0.847,0.282,0.778,831,83,Oil,450,69,87.6
0.45,1.451,0.737,1.643,0.86,0.58,871,44,Oil,237,60,105.8
0.198,0.807,0.964,1.593,0.445,0.632,892,118,Water,538,88,71.3
0.209,0.594,0.889,0.269,0.685,0.615,928,69,Polymer,631,191,61.8
0.295,0.441,0.521,1.909,0.208,0.766,887,118,Water,358,59,83.8
0.448,0.661,0.663,1.102,0.19,0.653,832,54,Oil,331,74,102.6
0.531,0.474,0.511,1.233,0.16,0.215,946,66,Polymer,344,78,110.4
0.399,0.411,0.301,0.87,0.107,0.185,900,63,Water,196,92,96.6
0.535,1.024,0.439,1.334,0.831,0.194,931,100,Water,322,104,116.6
0.323,0.737,0.193,1.756,1.134,0.17,916,73,Polymer,323,88,81.2
0.293,0.977,0.7,1.38,1.189,0.167,804,92,Oil,276,163,80.2
0.309,0.53,0.273,1.943,1.437,0.748,852,30,Polymer,457,143,77.1
0.227,1.112,0.528,1.432,0.253,0.761,803,31,Water,642,39,74.5
0.523,0.559,0.971,1.661,0.203,0.072,922,43,Oil,214,95,110.0
0.302,0.634,0.129,0.186,0.705,0.051,802,46,Water,482,196,82.9
0.399,1.19,0.237,1.378,1.292,0.686,925,41,Oil,481,190,88.7
0.41,0.972,0.369,1.344,1.151,0.451,873,25,Oil,253,191,90.9
0.385,0.702,0.948,0.293,0.837,0.169,788,88,Water,345,152,98.5
0.151,0.952,0.918,1.701,0.235,0.369,898,115,Polymer,225,188,63.7
0.595,1.133,0.246,1.267,0.587,0.059,901,80,Polymer,585,162,113.9
0.557,1.395,0.983,0.287,1.079,0.786,871,76,Polymer,165,77,114.9
0.243,0.997,0.776,1.229,0.56,0.112,869,70,Polymer,629,120,68.9
0.282,0.579,0.586,1.009,0.059,0.645,918,28,Water,325,132,80.8
0.384,1.196,0.939,0.543,0.876,0.767,791,50,Oil,300,50,92.1
0.556,1.233,0.893,0.138,1.08,0.569,808,99,Oil,475,162,108.3
0.593,0.54,0.452,0.795,1.072,0.071,946,56,Polymer,340,35,117.6
0.266,1.285,0.691,1.278,0.247,0.472,789,102,Polymer,652,137,64.8
0.404,0.858,0.683,0.726,0.504,0.103,879,43,Water,263,60,99.2
0.513,1.236,0.394,0.684,0.614,0.694,785,31,Water,684,68,100.5
0.327,0.585,0.261,1.527,0.631,0.538,876,30,Oil,663,111,83.7
0.479,0.699,0.52,1.541,0.171,0.754,790,108,Water,672,54,101.8
0.222,1.444,0.337,1.466,0.578,0.117,944,42,Water,636,86,70.4
0.42,1.089,0.42,0.292,0.76,0.363,930,53,Water,467,113,100.6
0.54,1.227,0.959,1.081,1.066,0.435,862,34,Water,399,128,116.0
0.593,1.126,0.515,1.16,0.854,0.087,848,76,Oil,316,168,119.9
0.186,0.545,0.716,1.515,0.607,0.542,893,62,Water,663,154,63.6
0.343,0.865,0.403,1.816,1.391,0.453,794,22,Polymer,692,76,77.7
0.242,1.271,0.996,0.801,0.897,0.278,878,97,Water,342,149,75.7
0.353,1.11,0.693,0.914,1.462,0.33,837,39,Water,592,81,89.5
0.396,0.307,0.276,1.492,1.301,0.637,923,76,Water,573,48,92.3
0.192,0.405,0.188,1.359,1.01,0.285,833,68,Oil,239,80,68.0
0.284,0.716,0.949,1.16,1.349,0.778,890,45,Oil,370,75,83.8
0.567,1.433,0.95,0.765,1.487,0.735,942,63,Oil,596,112,109.8
0.406,0.889,0.659,0.471,0.331,0.062,793,56,Polymer,557,30,87.0
0.356,0.624,0.115,0.449,1.037,0.682,833,87,Water,260,178,93.8
0.489,0.733,0.303,0.255,1.378,0.539,871,78,Polymer,583,79,95.5
0.484,0.553,0.821,0.254,0.026,0.044,851,71,Oil,179,168,112.7
0.172,0.805,0.888,1.707,1.199,0.764,869,70,Polymer,400,151,57.5
0.469,0.562,0.509,0.829,0.134,0.667,802,73,Oil,645,111,95.9
0.528,1.315,0.429,0.215,1.375,0.666,851,118,Water,404,152,112.4
0.225,0.848,0.347,1.803,0.918,0.733,780,76,Oil,396,196,72.6
0.501,0.636,0.205,0.524,0.243,0.737,847,42,Polymer,251,191,102.6
0.279,1.419,0.204,0.609,0.059,0.175,831,66,Polymer,442,153,69.7
0.288,0.677,0.957,0.47,1.242,0.75,826,108,Water,558,168,79.2
0.449,1.392,0.828,1.938,0.209,0.038,870,55,Water,422,94,106.6
0.2,0.352,0.248,0.314,1.409,0.705,856,96,Polymer,291,134,61.2
0.449,1.149,0.286,1.472,0.136,0.365,797,70,Water,676,44,97.9
0.55,0.881,0.69,1.871,1.257,0.665,827,111,Oil,610,88,113.2
0.463,0.833,0.788,1.369,0.635,0.218,925,68,Water,281,163,103.5
0.348,0.344,0.829,1.732,1.309,0.604,928,93,Water,578,147,88.8
0.347,0.349,0.247,0.561,1.153,0.644,844,70,Water,297,118,87.0
0.494,0.699,0.986,1.38,1.279,0.065,800,96,Polymer,264,116,103.5
0.405,1.437,0.305,1.432,0.705,0.732,806,86,Polymer,415,128,89.0
0.188,1.041,0.63,0.971,1.071,0.654,939,38,Oil,236,86,61.8
0.412,0.743,0.629,1.754,0.478,0.476,900,73,Oil,537,123,96.4
0.517,1.034,0.971,1.419,0.071,0.566,902,101,Polymer,670,113,103.6
0.302,0.547,0.692,1.8,0.349,0.277,900,57,Water,334,199,86.4
0.567,0.498,0.626,1.531,0.002,0.376,927,78,Water,178,80,125.5
0.488,0.734,0.567,1.089,0.545,0.118,799,39,Oil,463,92,105.2
0.408,1.336,0.788,1.048,0.741,0.4,937,32,Oil,238,174,97.2
0.488,0.911,0.195,0.962,0.029,0.626,925,21,Polymer,547,170,100.7
0.186,0.656,0.102,0.141,0.012,0.447,850,31,Polymer,579,183,59.7
0.537,1.44,0.957,1.117,1.03,0.107,923,74,Water,545,88,108.7
0.52,1.279,0.549,0.904,0.151,0.664,812,90,Polymer,623,80,101.7
0.559,0.688,0.396,0.399,0.111,0.59,899,69,Oil,284,192,112.4
0.208,1.467,0.431,0.326,0.743,0.03,943,21,Water,495,88,73.8
0.187,1.485,0.823,0.954,1.077,0.644,797,104,Water,337,157,67.1
0.212,0.79,0.444,0.176,1.466,0.692,934,119,Oil,274,114,70.8
0.33,1.087,0.793,1.975,0.443,0.41,866,57,Water,177,102,90.9
0.341,0.787,0.496,0.818,0.176,0.303,918,83,Oil,338,92,94.4
0.403,0.609,0.86,0.826,0.103,0.067,902,28,Water,441,137,98.8
0.205,0.399,0.169,0.197,0.311,0.663,816,110,Polymer,562,192,58.6
0.241,0.616,0.533,0.911,0.15,0.003,801,94,Oil,427,49,63.7
0.515,0.626,0.52,0.13,0.005,0.275,940,108,Polymer,427,36,103.0
0.361,0.778,0.338,0.157,0.428,0.262,887,46,Water,251,97,95.9
0.514,0.522,0.949,0.744,0.246,0.73,874,110,Oil,490,198,103.8
0.153,1.445,0.915,1.66,0.027,0.359,918,24,Oil,436,80,62.4
0.398,0.423,0.499,0.972,0.532,0.711,811,100,Oil,540,198,90.8
0.569,1.05,0.187,0.128,1.239,0.071,904,43,Water,642,146,118.4
0.412,0.83,0.286,0.41,0.455,0.677,913,21,Oil,217,65,100.4
0.243,0.808,0.344,1.506,1.065,0.49,806,58,Oil,331,104,68.7
0.473,0.746,0.536,1.503,1.093,0.43,792,110,Polymer,689,89,92.7
0.321,1.342,0.405,1.534,0.038,0.245,909,102,Water,603,61,85.9
0.451,0.637,0.797,0.768,1.443,0.392,830,104,Polymer,665,61,87.8
0.163,0.325,0.528,0.769,0.209,0.219,878,70,Polymer,402,125,58.4
0.436,1.402,0.883,1.624,1.076,0.365,850,26,Polymer,682,128,96.7
0.164,1.337,0.996,0.856,0.569,0.615,790,33,Oil,458,144,62.6
0.485,0.632,0.298,1.482,1.302,0.5,943,96,Polymer,637,84,93.9
0.363,0.928,0.651,1.204,1.492,0.544,787,25,Polymer,259,35,83.3
0.205,0.431,0.863,0.792,0.29,0.714,934,78,Water,638,109,71.0
0.394,0.412,0.951,0.252,1.229,0.042,806,49,Oil,273,48,92.4
0.18,1.305,0.361,0.321,0.758,0.159,825,98,Polymer,265,68,63.2
0.444,0.792,0.754,1.79,1.448,0.579,893,107,Oil,453,69,100.2
0.598,1.094,0.114,0.959,0.987,0.327,910,94,Oil,221,65,121.4
0.496,1.432,0.891,1.989,0.89,0.52,825,110,Oil,233,166,105.0
0.408,0.594,0.158,0.791,0.344,0.718,785,115,Polymer,209,69,91.7
0.196,0.316,0.76,0.575,1.078,0.589,907,116,Polymer,357,52,66.3
0.465,0.329,0.995,0.766,0.432,0.746,838,51,Oil,155,66,102.2
0.448,1.151,0.551,0.752,1.269,0.122,925,31,Water,400,75,104.2
0.172,1.409,0.288,1.311,1.466,0.605,782,58,Oil,545,140,65.4
0.507,0.861,0.635,0.124,0.012,0.562,800,40,Water,215,181,111.0
0.383,0.75,0.662,1.55,1.432,0.006,909,44,Polymer,649,58,86.8
0.342,0.951,0.701,0.891,0.538,0.034,882,106,Oil,615,113,78.2
0.505,1.331,0.255,0.921,0.732,0.027,852,113,Oil,435,73,108.2
0.335,1.083,0.909,1.014,1.386,0.422,918,37,Water,506,110,87.9
0.366,0.58,0.659,0.954,1.164,0.621,819,74,Oil,287,142,87.2
0.232,1.229,0.139,1.045,0.365,0.324,918,109,Polymer,336,35,63.2
0.295,0.462,0.716,0.757,0.145,0.003,921,103,Water,357,167,85.4
0.53,0.499,0.276,0.961,1.262,0.14,885,60,Polymer,643,170,104.7
0.234,1.035,0.125,0.869,1.121,0.759,874,118,Water,656,170,71.3
0.338,0.587,0.596,1.085,1.288,0.196,908,66,Water,686,66,80.7
0.595,1.146,0.832,1.284,0.576,0.683,820,32,Water,351,145,119.0
0.256,0.719,0.874,0.558,0.738,0.296,800,61,Oil,545,41,69.4
0.563,0.633,0.193,1.066,0.698,0.417,861,22,Water,254,84,118.5
0.563,1.499,0.697,1.23,0.472,0.392,798,52,Water,663,153,112.6
0.191,0.349,0.739,0.132,0.504,0.108,891,63,Polymer,511,152,61.4
0.359,1.075,0.365,1.089,1.078,0.293,835,21,Polymer,340,153,83.1
0.376,0.346,0.974,0.555,1.13,0.8,851,41,Water,371,88,94.9
0.291,1.212,0.351,0.869,1.296,0.451,784,87,Oil,280,100,79.1
0.171,0.576,0.163,1.67,1.267,0.372,836,59,Water,331,42,69.1
0.259,0.408,0.567,0.72,1.131,0.439,843,112,Water,603,150,75.5
0.193,1.078,0.725,1.018,0.499,0.21,824,113,Polymer,650,132,63.1
0.257,1.179,0.32,0.147,1.065,0.453,854,33,Oil,167,129,73.0
0.514,1.114,0.405,0.687,1.459,0.583,780,85,Oil,223,37,109.0
0.553,0.362,0.607,1.315,1.374,0.085,780,35,Water,297,167,110.9
0.169,0.653,0.898,0.699,1.457,0.223,926,95,Oil,156,37,66.3
0.286,0.841,0.773,0.491,0.054,0.167,841,76,Oil,208,150,82.8
0.591,0.645,0.289,0.652,0.917,0.596,855,58,Polymer,430,67,116.9
0.393,1.273,0.327,1.913,0.323,0.749,805,57,Water,160,78,98.4
0.432,0.457,0.571,0.265,0.37,0.34,883,50,Oil,293,38,102.0
0.152,1.035,0.792,0.98,1.266,0.507,920,115,Polymer,460,190,57.7
0.368,1.486,0.657,0.211,1.125,0.025,864,52,Water,406,41,98.0
0.595,1.383,0.551,1.123,0.493,0.105,837,97,Polymer,192,175,114.1
0.319,0.567,0.637,0.377,0.78,0.308,908,31,Polymer,671,115,79.1
0.194,0.3,0.78,1.305,0.282,0.532,903,101,Water,413,77,68.7
0.358,1.477,0.583,0.602,0.006,0.512,886,54,Water,533,149,92.2
0.583,1.359,0.908,1.413,1.35,0.154,796,28,Oil,565,158,113.8
0.304,1.403,0.952,0.76,1.064,0.106,868,45,Polymer,528,102,72.7
0.51,0.799,0.924,0.108,0.793,0.75,886,31,Water,505,161,111.1
0.509,1.194,0.779,0.66,0.081,0.284,890,94,Polymer,375,177,100.6
